key,sres_1,sres_2,sres_3,sres_4,sres_5,sres_6,sres_7,sres_8,sres_9,sum
AMBARI-21178,0,0,1,0,0,0,0,1,0,2
AMBARI-21143,0,0,0,0,0,0,0,0,0,0
AMBARI-20993,0,0,0,0,0,0,0,0,0,0
AMBARI-20984,1,0,0,0,0,0,0,0,0,1
AMBARI-20944,0,0,1,0,0,0,0,0,0,1
AMBARI-20927,0,0,0,0,0,0,0,1,0,1
AMBARI-20891,0,0,0,0,0,0,0,0,0,0
AMBARI-20848,0,0,0,0,0,1,0,1,0,2
AMBARI-20767,0,0,0,0,0,0,0,0,0,0
AMBARI-20454,0,0,0,0,0,0,0,4,0,4
AMBARI-19928,0,0,1,0,0,0,0,0,0,1
AMBARI-19925,0,0,0,0,0,0,0,1,0,1
AMBARI-19413,0,0,0,0,0,0,0,0,0,0
